,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1610,ABBA,Summer Night City,0.476,0.858,7,-5.66,0,0.0371,0.0138,0.0,0.177,0.765,130.703,audio_features,35iCSlFxyiawRBUOtQAkeT,spotify:track:35iCSlFxyiawRBUOtQAkeT,https://api.spotify.com/v1/tracks/35iCSlFxyiawRBUOtQAkeT,https://api.spotify.com/v1/audio-analysis/35iCSlFxyiawRBUOtQAkeT,214707,4
1611,Jimi Hendrix,Purple Haze,0.533,0.905,2,-5.27,1,0.0754,0.00876,0.578,0.0698,0.486,108.9,audio_features,0wJoRiX5K5BxlqZTolB2LD,spotify:track:0wJoRiX5K5BxlqZTolB2LD,https://api.spotify.com/v1/tracks/0wJoRiX5K5BxlqZTolB2LD,https://api.spotify.com/v1/audio-analysis/0wJoRiX5K5BxlqZTolB2LD,170813,4
1612,OutKast,Hey Ya!,0.727,0.974,4,-2.261,0,0.0664,0.103,0.000532,0.174,0.965,79.526,audio_features,2PpruBYCo4H7WOBJ7Q2EwM,spotify:track:2PpruBYCo4H7WOBJ7Q2EwM,https://api.spotify.com/v1/tracks/2PpruBYCo4H7WOBJ7Q2EwM,https://api.spotify.com/v1/audio-analysis/2PpruBYCo4H7WOBJ7Q2EwM,235213,4
1613,Dotan,Home,0.725,0.199,2,-12.478,1,0.0357,0.982,0.00395,0.1,0.264,120.031,audio_features,2qPSa6HXjzwa9sLhNGpA1T,spotify:track:2qPSa6HXjzwa9sLhNGpA1T,https://api.spotify.com/v1/tracks/2qPSa6HXjzwa9sLhNGpA1T,https://api.spotify.com/v1/audio-analysis/2qPSa6HXjzwa9sLhNGpA1T,195359,4
1614,Norah Jones,Sunrise,0.613,0.765,2,-5.058,0,0.0318,0.259,4.28e-06,0.0832,0.343,139.993,audio_features,0JtgoDDf0ggWaoXCGhcOoT,spotify:track:0JtgoDDf0ggWaoXCGhcOoT,https://api.spotify.com/v1/tracks/0JtgoDDf0ggWaoXCGhcOoT,https://api.spotify.com/v1/audio-analysis/0JtgoDDf0ggWaoXCGhcOoT,182522,4
1615,Suzan & Freek,Onderweg Naar Later,0.713,0.582,1,-8.485,1,0.165,0.364,1.3e-06,0.208,0.933,139.99,audio_features,5rES9eqpHTAlv7jVY1SUQn,spotify:track:5rES9eqpHTAlv7jVY1SUQn,https://api.spotify.com/v1/tracks/5rES9eqpHTAlv7jVY1SUQn,https://api.spotify.com/v1/audio-analysis/5rES9eqpHTAlv7jVY1SUQn,177000,4
1616,Bob Marley & The Wailers,Is This Love,0.776,0.559,6,-8.375,0,0.103,0.11,0.0,0.0671,0.758,122.242,audio_features,6JRLFiX9NJSoRRKxowlBYr,spotify:track:6JRLFiX9NJSoRRKxowlBYr,https://api.spotify.com/v1/tracks/6JRLFiX9NJSoRRKxowlBYr,https://api.spotify.com/v1/audio-analysis/6JRLFiX9NJSoRRKxowlBYr,232200,4
1617,Pulp,Common People,0.314,0.797,0,-9.026,1,0.038,0.0057,5.59e-05,0.0718,0.569,145.393,audio_features,2fXKyAyPrEa24c6PJyqznF,spotify:track:2fXKyAyPrEa24c6PJyqznF,https://api.spotify.com/v1/tracks/2fXKyAyPrEa24c6PJyqznF,https://api.spotify.com/v1/audio-analysis/2fXKyAyPrEa24c6PJyqznF,351627,4
1618,Stevie Wonder,Sir Duke,0.588,0.568,6,-9.766,1,0.0672,0.16,0.0,0.0792,0.952,106.938,audio_features,4pNiE4LCVV74vfIBaUHm1b,spotify:track:4pNiE4LCVV74vfIBaUHm1b,https://api.spotify.com/v1/tracks/4pNiE4LCVV74vfIBaUHm1b,https://api.spotify.com/v1/audio-analysis/4pNiE4LCVV74vfIBaUHm1b,232760,4
1619,Extreme,More Than Words,0.626,0.134,6,-14.898,1,0.0298,0.467,0.0,0.113,0.239,91.893,audio_features,1gVgkQFOKa8Wc1HYsJtPdH,spotify:track:1gVgkQFOKa8Wc1HYsJtPdH,https://api.spotify.com/v1/tracks/1gVgkQFOKa8Wc1HYsJtPdH,https://api.spotify.com/v1/audio-analysis/1gVgkQFOKa8Wc1HYsJtPdH,334107,4
1620,Elton John,Sorry Seems To Be The Hardest Word,0.371,0.22,7,-12.797,0,0.0324,0.828,1.23e-06,0.195,0.112,118.464,audio_features,6XfxmT5QNCXvpZA6PKfWVL,spotify:track:6XfxmT5QNCXvpZA6PKfWVL,https://api.spotify.com/v1/tracks/6XfxmT5QNCXvpZA6PKfWVL,https://api.spotify.com/v1/audio-analysis/6XfxmT5QNCXvpZA6PKfWVL,228933,4
1621,Diggy Dex & Vali,La Vie Est Belle,0.599,0.847,10,-7.973,0,0.215,0.203,0.000524,0.698,0.364,100.085,audio_features,1VzsS5tPCG6reQ9LoTMUpn,spotify:track:1VzsS5tPCG6reQ9LoTMUpn,https://api.spotify.com/v1/tracks/1VzsS5tPCG6reQ9LoTMUpn,https://api.spotify.com/v1/audio-analysis/1VzsS5tPCG6reQ9LoTMUpn,278256,4
1622,One Direction,One Way Or Another (Teenage Kicks),0.489,0.867,4,-3.121,0,0.071,0.025,0.0,0.586,0.409,162.131,audio_features,3jZomvOBa5qfTo5HkqI1p5,spotify:track:3jZomvOBa5qfTo5HkqI1p5,https://api.spotify.com/v1/tracks/3jZomvOBa5qfTo5HkqI1p5,https://api.spotify.com/v1/audio-analysis/3jZomvOBa5qfTo5HkqI1p5,157293,4
1623,ABBA,Don't Shut Me Down,0.591,0.791,0,-5.904,1,0.0318,0.000776,0.0,0.192,0.435,100.005,audio_features,0SiQ4Hxwz1PABIiJDL9RjX,spotify:track:0SiQ4Hxwz1PABIiJDL9RjX,https://api.spotify.com/v1/tracks/0SiQ4Hxwz1PABIiJDL9RjX,https://api.spotify.com/v1/audio-analysis/0SiQ4Hxwz1PABIiJDL9RjX,237510,4
1624,Sting & Cheb Mami,Desert Rose,0.577,0.654,0,-7.9,0,0.0321,0.0143,0.0,0.114,0.13,111.993,audio_features,4WhyHQ2BXi2VU1iaFbF6jv,spotify:track:4WhyHQ2BXi2VU1iaFbF6jv,https://api.spotify.com/v1/tracks/4WhyHQ2BXi2VU1iaFbF6jv,https://api.spotify.com/v1/audio-analysis/4WhyHQ2BXi2VU1iaFbF6jv,285893,4
1625,Yes,Close To The Edge (Albumversie),0.532,0.244,8,-14.652,1,0.0327,0.707,4.56e-05,0.122,0.238,89.327,audio_features,50q2aUjWoTn6CJIfSPRJQA,spotify:track:50q2aUjWoTn6CJIfSPRJQA,https://api.spotify.com/v1/tracks/50q2aUjWoTn6CJIfSPRJQA,https://api.spotify.com/v1/audio-analysis/50q2aUjWoTn6CJIfSPRJQA,276000,4
1626,Cutting Crew,(I Just Died) In Your Arms Tonight,0.666,0.757,6,-6.715,0,0.0437,0.0893,0.0,0.161,0.118,120.123,audio_features,0bP88wC19xydrjB4vHe8Be,spotify:track:0bP88wC19xydrjB4vHe8Be,https://api.spotify.com/v1/tracks/0bP88wC19xydrjB4vHe8Be,https://api.spotify.com/v1/audio-analysis/0bP88wC19xydrjB4vHe8Be,162064,4
1627,Therapy?,Diane,0.543,0.869,1,-1.832,0,0.125,0.0381,0.0,0.0843,0.204,141.028,audio_features,2hAbbp7lGnXsfbj3INaAIA,spotify:track:2hAbbp7lGnXsfbj3INaAIA,https://api.spotify.com/v1/tracks/2hAbbp7lGnXsfbj3INaAIA,https://api.spotify.com/v1/audio-analysis/2hAbbp7lGnXsfbj3INaAIA,212133,4
1628,Anouk,Three Days In A Row,0.362,0.499,4,-6.182,1,0.0313,0.00235,0.0,0.16,0.389,170.702,audio_features,2D13EpeYm3hgbKQlLPchg3,spotify:track:2D13EpeYm3hgbKQlLPchg3,https://api.spotify.com/v1/tracks/2D13EpeYm3hgbKQlLPchg3,https://api.spotify.com/v1/audio-analysis/2D13EpeYm3hgbKQlLPchg3,253973,3
1629,Marvin Gaye,I Heard It Through The Grapevine,0.711,0.362,3,-10.851,0,0.0381,0.272,0.0,0.127,0.616,117.287,audio_features,1tqT6DhmsrtQgyCKUwotiw,spotify:track:1tqT6DhmsrtQgyCKUwotiw,https://api.spotify.com/v1/tracks/1tqT6DhmsrtQgyCKUwotiw,https://api.spotify.com/v1/audio-analysis/1tqT6DhmsrtQgyCKUwotiw,194293,4
1630,Toto,Home Of The Brave,0.784,0.564,11,-8.374,0,0.239,0.49,0.0,0.439,0.503,128.952,audio_features,4T8QeEavHqiWRpvW0xikpH,spotify:track:4T8QeEavHqiWRpvW0xikpH,https://api.spotify.com/v1/tracks/4T8QeEavHqiWRpvW0xikpH,https://api.spotify.com/v1/audio-analysis/4T8QeEavHqiWRpvW0xikpH,153489,4
1631,House Of Pain,Jump Around,0.854,0.71,4,-6.32,0,0.0795,0.0113,9.06e-05,0.166,0.818,106.893,audio_features,6JymsaWDHk2Yj4e0yNBIFH,spotify:track:6JymsaWDHk2Yj4e0yNBIFH,https://api.spotify.com/v1/tracks/6JymsaWDHk2Yj4e0yNBIFH,https://api.spotify.com/v1/audio-analysis/6JymsaWDHk2Yj4e0yNBIFH,214947,4
1632,James Taylor,You've Got A Friend,0.689,0.333,0,-12.134,0,0.0307,0.817,5.13e-06,0.285,0.471,115.835,audio_features,2stkLJ0JNcXkIRDNF3ld6c,spotify:track:2stkLJ0JNcXkIRDNF3ld6c,https://api.spotify.com/v1/tracks/2stkLJ0JNcXkIRDNF3ld6c,https://api.spotify.com/v1/audio-analysis/2stkLJ0JNcXkIRDNF3ld6c,124160,4
1633,Nick & Simon,De Soldaat,0.607,0.695,4,-5.822,1,0.0337,0.422,0.0,0.104,0.879,90.028,audio_features,31yrhssIQhMUGEWfizso8t,spotify:track:31yrhssIQhMUGEWfizso8t,https://api.spotify.com/v1/tracks/31yrhssIQhMUGEWfizso8t,https://api.spotify.com/v1/audio-analysis/31yrhssIQhMUGEWfizso8t,164800,4
1634,Tears For Fears,Head Over Heels,0.602,0.839,4,-4.251,0,0.0255,0.502,0.00128,0.095,0.653,95.159,audio_features,748yv6bb3l3CcKS45a6SZ8,spotify:track:748yv6bb3l3CcKS45a6SZ8,https://api.spotify.com/v1/tracks/748yv6bb3l3CcKS45a6SZ8,https://api.spotify.com/v1/audio-analysis/748yv6bb3l3CcKS45a6SZ8,256147,4
1635,S10 & BLØF,Laat Me Los,0.608,0.408,2,-9.616,1,0.0298,0.656,0.0,0.112,0.222,133.863,audio_features,1hA6iyCGPBkRXO6M7fIAMf,spotify:track:1hA6iyCGPBkRXO6M7fIAMf,https://api.spotify.com/v1/tracks/1hA6iyCGPBkRXO6M7fIAMf,https://api.spotify.com/v1/audio-analysis/1hA6iyCGPBkRXO6M7fIAMf,271867,4
1636,"Bill Withers & Grover Washington, Jr.",Just The Two Of Us,0.793,0.386,10,-13.413,0,0.0819,0.597,0.31,0.0775,0.584,95.819,audio_features,2tH28YyKYOldxhuBHoI79M,spotify:track:2tH28YyKYOldxhuBHoI79M,https://api.spotify.com/v1/tracks/2tH28YyKYOldxhuBHoI79M,https://api.spotify.com/v1/audio-analysis/2tH28YyKYOldxhuBHoI79M,237373,4
1637,The Rolling Stones,As Tears Go By,0.413,0.0253,7,-22.872,1,0.0317,0.987,0.924,0.11,0.105,76.53,audio_features,6TIOZDqaVXcShZFz4K94ft,spotify:track:6TIOZDqaVXcShZFz4K94ft,https://api.spotify.com/v1/tracks/6TIOZDqaVXcShZFz4K94ft,https://api.spotify.com/v1/audio-analysis/6TIOZDqaVXcShZFz4K94ft,211750,4
1638,Frank Sinatra,"Theme From New York, New York",0.312,0.497,2,-6.95,1,0.0309,0.587,0.0,0.246,0.546,94.311,audio_features,0K2WjMLZYr09LKwurGRYRE,spotify:track:0K2WjMLZYr09LKwurGRYRE,https://api.spotify.com/v1/tracks/0K2WjMLZYr09LKwurGRYRE,https://api.spotify.com/v1/audio-analysis/0K2WjMLZYr09LKwurGRYRE,204907,4
1639,Bon Jovi,In These Arms,0.51,0.915,4,-3.036,1,0.0562,0.00884,1.75e-05,0.205,0.459,123.257,audio_features,0vTKR5TQD03kASmEGlyDF3,spotify:track:0vTKR5TQD03kASmEGlyDF3,https://api.spotify.com/v1/tracks/0vTKR5TQD03kASmEGlyDF3,https://api.spotify.com/v1/audio-analysis/0vTKR5TQD03kASmEGlyDF3,319227,4
1640,The Cats,Times Were When,0.453,0.557,9,-8.933,1,0.0268,0.238,0.0,0.0462,0.612,98.93,audio_features,5dlok4lYndri2ZVlcSFBOl,spotify:track:5dlok4lYndri2ZVlcSFBOl,https://api.spotify.com/v1/tracks/5dlok4lYndri2ZVlcSFBOl,https://api.spotify.com/v1/audio-analysis/5dlok4lYndri2ZVlcSFBOl,191307,4
1641,Snow Patrol,Shut Your Eyes,0.611,0.0153,6,-37.492,1,0.0766,0.996,0.973,0.107,0.546,72.06,audio_features,2pJrutQePD4gXkWGDhu3gV,spotify:track:2pJrutQePD4gXkWGDhu3gV,https://api.spotify.com/v1/tracks/2pJrutQePD4gXkWGDhu3gV,https://api.spotify.com/v1/audio-analysis/2pJrutQePD4gXkWGDhu3gV,67292,4
1642,Michael Jackson,Bad,0.65,0.802,7,-6.114,1,0.181,0.0871,6.54e-06,0.148,0.295,170.146,audio_features,273dCMFseLcVsoSWx59IoE,spotify:track:273dCMFseLcVsoSWx59IoE,https://api.spotify.com/v1/tracks/273dCMFseLcVsoSWx59IoE,https://api.spotify.com/v1/audio-analysis/273dCMFseLcVsoSWx59IoE,211933,4
1643,Bruno Mars,Grenade,0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444,audio_features,2tJulUYLDKOg9XrtVkMgcJ,spotify:track:2tJulUYLDKOg9XrtVkMgcJ,https://api.spotify.com/v1/tracks/2tJulUYLDKOg9XrtVkMgcJ,https://api.spotify.com/v1/audio-analysis/2tJulUYLDKOg9XrtVkMgcJ,222091,4
1644,Patti Smith Group,Because The Night,0.466,0.763,11,-7.748,0,0.0391,0.0542,0.0,0.119,0.473,123.539,audio_features,0lIoY4ZQsdn5QzhraM9o9u,spotify:track:0lIoY4ZQsdn5QzhraM9o9u,https://api.spotify.com/v1/tracks/0lIoY4ZQsdn5QzhraM9o9u,https://api.spotify.com/v1/audio-analysis/0lIoY4ZQsdn5QzhraM9o9u,204800,4
1645,MGMT,Kids,0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,audio_features,1jJci4qxiYcOHhQR247rEU,spotify:track:1jJci4qxiYcOHhQR247rEU,https://api.spotify.com/v1/tracks/1jJci4qxiYcOHhQR247rEU,https://api.spotify.com/v1/audio-analysis/1jJci4qxiYcOHhQR247rEU,302840,4
1646,America,Ventura Highway,0.673,0.581,2,-10.205,1,0.029,0.223,0.000206,0.063,0.818,130.771,audio_features,4IU1RL4BKvFyXtbTwaHAvW,spotify:track:4IU1RL4BKvFyXtbTwaHAvW,https://api.spotify.com/v1/tracks/4IU1RL4BKvFyXtbTwaHAvW,https://api.spotify.com/v1/audio-analysis/4IU1RL4BKvFyXtbTwaHAvW,211387,4
1647,Neil Diamond,Love On The Rocks,0.361,0.193,9,-17.126,0,0.0387,0.889,4.4e-05,0.0879,0.164,64.572,audio_features,6XNGIaXv2xljDcxQ99p65f,spotify:track:6XNGIaXv2xljDcxQ99p65f,https://api.spotify.com/v1/tracks/6XNGIaXv2xljDcxQ99p65f,https://api.spotify.com/v1/audio-analysis/6XNGIaXv2xljDcxQ99p65f,217893,4
1648,Pet Shop Boys,West End Girls (Albumversie),0.656,0.914,4,-7.471,0,0.0394,0.000943,0.0628,0.159,0.576,113.259,audio_features,2Di0qFNb7ATroCGB3q0Ka7,spotify:track:2Di0qFNb7ATroCGB3q0Ka7,https://api.spotify.com/v1/tracks/2Di0qFNb7ATroCGB3q0Ka7,https://api.spotify.com/v1/audio-analysis/2Di0qFNb7ATroCGB3q0Ka7,285907,4
1649,Madonna,La Isla Bonita,0.724,0.822,1,-4.374,0,0.0333,0.304,1.38e-05,0.0553,0.964,99.9,audio_features,6r8k1vznHrzlEKYxL4dZEe,spotify:track:6r8k1vznHrzlEKYxL4dZEe,https://api.spotify.com/v1/tracks/6r8k1vznHrzlEKYxL4dZEe,https://api.spotify.com/v1/audio-analysis/6r8k1vznHrzlEKYxL4dZEe,242733,4
1650,Japan,Nightporter (Albumversie),0.655,0.5,1,-10.726,0,0.0938,0.126,0.897,0.236,0.162,116.418,audio_features,0ze8n8jr6UP7n09NKxWCWn,spotify:track:0ze8n8jr6UP7n09NKxWCWn,https://api.spotify.com/v1/tracks/0ze8n8jr6UP7n09NKxWCWn,https://api.spotify.com/v1/audio-analysis/0ze8n8jr6UP7n09NKxWCWn,82865,4
1651,Meat Loaf,For Crying Out Loud (Albumversie),0.509,0.72,1,-6.935,1,0.0682,0.196,0.0,0.284,0.505,130.063,audio_features,3lMgczyYCjVDpJX8Wl2ilu,spotify:track:3lMgczyYCjVDpJX8Wl2ilu,https://api.spotify.com/v1/tracks/3lMgczyYCjVDpJX8Wl2ilu,https://api.spotify.com/v1/audio-analysis/3lMgczyYCjVDpJX8Wl2ilu,288387,4
1652,Scott McKenzie,San Francisco (Be Sure To Wear Flowers In Your Hair),0.566,0.505,7,-10.404,1,0.0283,0.428,5.3e-06,0.0927,0.649,113.145,audio_features,6UsdldEfcEXSID2G3nA89J,spotify:track:6UsdldEfcEXSID2G3nA89J,https://api.spotify.com/v1/tracks/6UsdldEfcEXSID2G3nA89J,https://api.spotify.com/v1/audio-analysis/6UsdldEfcEXSID2G3nA89J,178800,4
1653,Cranberries,Dreams,0.631,0.774,11,-2.459,1,0.3,0.468,0.0,0.281,0.44,79.745,audio_features,42zd6DYQ4o4SECmTITrM1U,spotify:track:42zd6DYQ4o4SECmTITrM1U,https://api.spotify.com/v1/tracks/42zd6DYQ4o4SECmTITrM1U,https://api.spotify.com/v1/audio-analysis/42zd6DYQ4o4SECmTITrM1U,230693,4
1654,Fleetwood Mac,Gypsy,0.484,0.641,5,-12.612,1,0.0377,0.000779,0.278,0.0738,0.181,119.981,audio_features,1SShxVVBeZBCY7WddnksPz,spotify:track:1SShxVVBeZBCY7WddnksPz,https://api.spotify.com/v1/tracks/1SShxVVBeZBCY7WddnksPz,https://api.spotify.com/v1/audio-analysis/1SShxVVBeZBCY7WddnksPz,451827,4
1655,Chic,Le Freak,0.847,0.491,7,-15.707,1,0.054,0.0363,0.000687,0.186,0.875,119.873,audio_features,7z3aH1QV2zwMKXxShBNOGe,spotify:track:7z3aH1QV2zwMKXxShBNOGe,https://api.spotify.com/v1/tracks/7z3aH1QV2zwMKXxShBNOGe,https://api.spotify.com/v1/audio-analysis/7z3aH1QV2zwMKXxShBNOGe,210247,4
